File,Bug_ID
iceberg/iceberg-catalog/src/test/java/org/apache/iceberg/hive/TestHiveMetastore.java,HIVE-2402
iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/CatalogLoader.java,HIVE-2402
iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/Catalogs.java,HIVE-2402
iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/InputFormatConfig.java,"HIVE-4761,HIVE-2402"
iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergDeleteWriter.java,HIVE-3225
iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergInputFormat.java,"HIVE-4761,HIVE-3203"
iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergMetaHook.java,HIVE-2402
iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergOutputCommitter.java,"HIVE-4761,HIVE-2402"
iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergOutputFormat.java,"HIVE-3225,HIVE-2402"
iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergRecordWriter.java,"HIVE-3225,HIVE-2402"
iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergSplit.java,HIVE-3203
iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergStorageHandler.java,"HIVE-4761,HIVE-3579,HIVE-3225,HIVE-2402"
iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergWriter.java,HIVE-3225
iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/IcebergAcidUtil.java,HIVE-3225
iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/IcebergMetadataTables.java,HIVE-4119
iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/IcebergTableUtil.java,HIVE-3408
iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/vector/HiveVectorizedReader.java,HIVE-3480
iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/mapreduce/IcebergInputFormat.java,"HIVE-3203,HIVE-2402"
iceberg/iceberg-handler/src/main/java/org/apache/iceberg/orc/VectorizedReadUtils.java,HIVE-3203
iceberg/iceberg-handler/src/main/java/org/apache/iceberg/parquet/ParquetFooterInputFromCache.java,HIVE-3480
iceberg/iceberg-handler/src/test/java/org/apache/iceberg/mr/TestCatalogs.java,HIVE-2402
iceberg/iceberg-handler/src/test/java/org/apache/iceberg/mr/TestIcebergInputFormats.java,"HIVE-3203,HIVE-2402"
iceberg/iceberg-handler/src/test/java/org/apache/iceberg/mr/TestInputFormatReaderDeletes.java,"HIVE-3203,HIVE-2402"
iceberg/iceberg-handler/src/test/java/org/apache/iceberg/mr/hive/HiveIcebergStorageHandlerStub.java,HIVE-4761
iceberg/iceberg-handler/src/test/java/org/apache/iceberg/mr/hive/HiveIcebergStorageHandlerTestUtils.java,HIVE-2402
