Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassDerived,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeExe,CountStmt,MaxCyclomatic,Cyclomatic,RatioCommentToCode,SumCyclomatic,CountLineComment
Public Class,org.apache.hadoop.raid.TestRaidHar,45,3,36,7,6,0,,,274,25,200,166,131,19,,0.27,28,53
Public Class,org.apache.hadoop.raid.TestRaidNode,42,4,35,4,5,0,,,679,68,538,446,364,16,,0.15,62,79
Public Class,org.apache.hadoop.raid.TestRaidPurge,48,4,37,7,4,0,,,479,48,352,295,243,12,,0.24,38,86
Public Class,org.apache.hadoop.raid.TestRaidShell,33,4,27,2,3,0,,,235,29,177,156,124,4,,0.18,15,31
Public Class,org.apache.hadoop.raid.TestRaidShellFsck,31,3,22,6,3,0,,,694,95,471,360,305,14,,0.28,53,133
Public Class,org.apache.hadoop.raid.TestReedSolomonDecoder,19,3,15,2,1,0,,,109,15,71,59,54,2,,0.34,5,24
Public Class,org.apache.hadoop.raid.TestReedSolomonEncoder,14,2,11,1,1,0,,,74,11,45,35,35,2,,0.42,4,19
Public Class,org.apache.hadoop.raid.XORDecoder,13,1,12,0,2,0,,,77,7,53,33,39,4,,0.32,8,17
Public Class,org.apache.hadoop.raid.XOREncoder,8,0,8,0,1,0,,,47,2,28,10,12,1,,0.61,3,17
Public Class,org.apache.hadoop.raid.protocol.PolicyInfo,11,0,8,3,2,0,,,233,20,147,86,115,7,,0.50,27,74
Public Class,org.apache.hadoop.raid.protocol.PolicyList,6,0,4,1,1,0,,,87,9,44,22,32,2,,0.82,9,36
Public Class,org.apache.hadoop.record.TestRecordMR,76,6,46,24,5,0,,,454,31,248,148,178,13,,0.71,16,175
Public Class,org.apache.hadoop.record.TestRecordWritable,35,4,29,3,4,0,,,95,11,62,45,52,6,,0.35,7,22
Public Class,org.apache.hadoop.security.TestMapredGroupMappingServiceRefresh,35,5,28,3,3,0,,,231,35,166,126,128,5,,0.20,14,34
Public Class,org.apache.hadoop.security.authorize.HadoopPolicyProvider,13,2,11,0,1,0,,,34,4,13,7,8,1,,1.31,1,17
Public Class,org.apache.hadoop.security.authorize.TestServiceLevelAuthorization,35,3,27,5,4,0,,,165,18,112,92,84,9,,0.33,16,37
Public Class,org.apache.hadoop.streaming.AutoInputFormat,13,0,12,1,2,0,,,56,5,29,19,19,3,,0.76,4,22
Public Class,org.apache.hadoop.streaming.DelayEchoApp,9,1,7,1,2,0,,,52,5,23,11,15,3,,1.04,6,24
