Kind,Name,AvgCyclomatic,Cyclomatic,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,CountLineCode,CountLineBlank,CountLineCodeDecl,CountLineCodeExe,CountStmtDecl,CountStmtExe,CountSemicolon,CountStmt,SumCyclomatic,MaxCyclomatic,CountLine,CountDeclClass,CountLineComment,RatioCommentToCode,CountDeclFunction
Public Class,org.apache.cassandra.auth.AllowAllInternodeAuthenticator,1,,4,0,4,0,11,1,4,1,3,1,1,4,2,1,12,,0,0.00,
Public Class,org.apache.cassandra.auth.AllowAllNetworkAuthorizer,1,,3,0,3,0,19,5,8,3,7,3,3,10,6,1,24,,0,0.00,
Public Class,org.apache.cassandra.auth.AuthCacheService,2,,10,0,7,3,43,6,13,17,12,17,14,25,8,2,62,,13,0.30,
Public Class,org.apache.cassandra.auth.AuthCacheTest,1,,12,1,11,0,407,76,122,248,83,204,209,252,66,3,487,,15,0.04,
Public Class,org.apache.cassandra.auth.AuthConfigTest,1,,12,1,11,0,50,7,22,31,15,27,27,32,4,1,57,,0,0.00,
Public Class,org.apache.cassandra.auth.AuthEvents,2,,7,0,7,0,48,8,13,16,14,14,12,25,9,3,56,,0,0.00,
Public Class,org.apache.cassandra.auth.AuthProperties,1,,7,0,6,0,37,6,8,14,7,11,9,17,7,3,43,,0,0.00,
Public Class,org.apache.cassandra.auth.AuthPropertiesTest,1,,7,0,7,0,23,2,9,7,6,7,6,11,4,2,25,,0,0.00,
Public Class,org.apache.cassandra.auth.AuthSchemaChangeListener,1,,6,0,6,0,27,3,9,8,5,6,6,11,4,1,33,,3,0.11,
Public Class,org.apache.cassandra.auth.AuthTestUtils,1,,8,0,7,1,299,50,106,104,86,89,91,153,22,2,369,,21,0.07,
Public Class,org.apache.cassandra.auth.AuthenticatedUser,1,,8,0,5,3,107,31,36,37,33,34,39,62,22,3,210,,72,0.67,
Public Class,org.apache.cassandra.auth.CIDRGroupsMappingCache,1,,13,1,8,4,56,16,17,31,16,21,25,33,7,2,101,,29,0.52,
Public Class,org.apache.cassandra.auth.CIDRGroupsMappingIntervalTreeTest,1,,15,2,13,1,160,32,62,104,49,55,60,78,17,4,199,,14,0.09,
Public Class,org.apache.cassandra.auth.CIDRGroupsMappingLoader,3,,15,1,13,1,47,9,14,26,16,21,19,30,8,5,64,,8,0.17,
Public Class,org.apache.cassandra.auth.CIDRGroupsMappingManager,2,,12,1,10,0,149,36,54,86,50,64,56,89,26,3,187,,2,0.01,
Public Class,org.apache.cassandra.auth.CIDRGroupsMappingManagerTest,1,,11,1,10,0,103,16,26,57,15,36,37,48,11,1,122,,3,0.03,
Public Class,org.apache.cassandra.auth.CIDRGroupsMappingTableTest,1,,12,1,11,0,159,24,52,86,37,59,57,80,20,2,185,,2,0.01,
Public Class,org.apache.cassandra.auth.CIDRPermissionsCache,1,,12,0,10,2,34,4,9,19,6,7,7,12,4,2,43,,5,0.15,
Public Class,org.apache.cassandra.auth.CIDRPermissionsManager,2,,14,1,11,2,114,23,36,66,29,43,37,59,21,4,164,,27,0.24,
Public Class,org.apache.cassandra.auth.CacheRefresherTest,1,,52,10,33,9,36,10,10,29,8,25,27,29,2,1,55,,9,0.25,
Public Class,org.apache.cassandra.auth.CassandraAuthorizer,2,,14,1,12,1,359,67,93,209,79,122,101,167,58,5,480,,54,0.15,
Public Class,org.apache.cassandra.auth.CassandraAuthorizerTest,1,,29,5,20,4,47,12,9,36,7,22,26,29,2,1,66,,7,0.15,
Public Class,org.apache.cassandra.auth.CassandraAuthorizerTruncatingTest,1,,16,2,13,1,53,10,17,34,14,32,31,38,5,2,71,,8,0.15,
Public Class,org.apache.cassandra.auth.CassandraCIDRAuthorizer,2,,10,1,8,1,90,22,26,42,19,35,32,48,15,5,123,,12,0.13,
Public Class,org.apache.cassandra.auth.CassandraCIDRAuthorizerEnforceModeTest,1,,13,1,12,0,201,42,54,117,44,83,82,112,23,7,243,,2,0.01,
Public Class,org.apache.cassandra.auth.CassandraCIDRAuthorizerMonitorModeTest,1,,12,1,11,0,79,13,19,49,13,31,31,39,7,1,92,,1,0.01,
Public Class,org.apache.cassandra.auth.CassandraLoginModule,3,,28,1,17,10,128,17,30,68,23,64,59,80,20,5,222,,77,0.60,
Public Class,org.apache.cassandra.auth.CassandraNetworkAuthorizer,2,,13,1,12,0,126,17,36,68,31,48,42,65,20,4,147,,4,0.03,
Public Class,org.apache.cassandra.auth.CassandraNetworkAuthorizerTest,1,,10,1,9,0,125,21,39,75,29,60,60,74,13,1,151,,5,0.04,
Public Class,org.apache.cassandra.auth.CassandraPrincipal,2,,17,1,7,9,40,10,13,17,9,15,13,24,10,5,112,,62,1.55,
Public Class,org.apache.cassandra.auth.CassandraRoleManager,2,,11,0,10,1,514,68,119,295,91,159,141,218,91,4,663,,82,0.16,
Public Class,org.apache.cassandra.auth.CassandraRoleManagerTest,2,,15,2,11,3,87,19,28,52,27,52,46,66,15,4,126,,20,0.23,
Public Class,org.apache.cassandra.auth.CreateAndAlterRoleTest,1,,25,6,18,1,94,33,25,72,21,54,62,68,7,1,130,,3,0.03,
Public Class,org.apache.cassandra.auth.DataResource,2,,11,0,8,2,193,33,40,109,33,66,59,94,47,5,285,,60,0.31,
Public Class,org.apache.cassandra.auth.FunctionResource,2,,11,0,8,3,220,38,52,122,46,86,77,121,51,6,330,,72,0.33,
Public Class,org.apache.cassandra.auth.FunctionResourceTest,1,,10,0,10,0,85,9,41,48,34,36,41,52,12,2,94,,0,0.00,
Public Class,org.apache.cassandra.auth.GrantAndRevokeTest,1,,70,7,61,2,308,40,26,261,21,192,194,206,17,1,358,,10,0.03,
Public Class,org.apache.cassandra.auth.JMXResource,2,,9,0,7,1,114,22,34,49,24,41,35,61,26,4,154,,18,0.16,
Public Class,org.apache.cassandra.auth.MutualTlsAuthenticator,1,,7,0,7,0,167,27,59,74,43,50,55,82,13,3,223,,29,0.17,
Public Class,org.apache.cassandra.auth.MutualTlsAuthenticatorTest,1,,10,0,9,1,122,17,53,67,38,61,66,79,12,1,144,,6,0.05,
Public Class,org.apache.cassandra.auth.MutualTlsCertificateValidityPeriodValidator,2,,15,1,10,4,36,6,12,18,10,12,11,17,6,3,54,,12,0.33,
Public Class,org.apache.cassandra.auth.MutualTlsCertificateValidityPeriodValidatorTest,1,,9,0,8,1,43,4,20,20,15,13,14,20,6,1,53,,6,0.14,
Public Class,org.apache.cassandra.auth.MutualTlsInternodeAuthenticator,3,,25,1,22,2,146,15,39,77,30,58,53,74,20,6,198,,37,0.25,
Public Class,org.apache.cassandra.auth.MutualTlsInternodeAuthenticatorTest,1,,8,0,8,0,118,16,57,55,41,49,54,69,14,1,134,,2,0.02,
Public Class,org.apache.cassandra.auth.MutualTlsUtilTest,1,,19,0,19,0,22,0,3,15,2,15,15,17,1,1,25,,3,0.14,
Public Class,org.apache.cassandra.auth.MutualTlsWithPasswordFallbackAuthenticator,1,,7,0,7,0,45,7,16,13,11,12,13,22,8,2,58,,6,0.13,
Public Class,org.apache.cassandra.auth.MutualTlsWithPasswordFallbackAuthenticatorTest,1,,10,0,8,1,46,7,21,21,16,20,22,28,5,1,58,,5,0.11,
Public Class,org.apache.cassandra.auth.NetworkPermissionsCache,1,,9,0,9,0,29,3,5,16,4,5,5,9,4,1,32,,0,0.00,
Public Class,org.apache.cassandra.auth.PasswordAuthenticator,2,,10,1,8,1,215,44,61,106,54,76,76,119,25,4,308,,50,0.23,
Public Class,org.apache.cassandra.auth.PasswordAuthenticatorTest,1,,8,0,8,1,117,21,39,52,26,48,48,67,17,2,146,,8,0.07,
Public Class,org.apache.cassandra.auth.PermissionDetails,1,,8,0,8,0,46,7,14,21,10,11,13,21,7,3,57,,4,0.09,
Public Class,org.apache.cassandra.auth.PermissionsCache,1,,8,0,8,0,27,2,5,14,4,3,3,7,4,1,29,,0,0.00,
Public Class,org.apache.cassandra.auth.ResourcesTest,1,,14,2,12,1,51,12,9,32,5,25,25,30,4,1,64,,3,0.06,
Public Class,org.apache.cassandra.auth.Role,2,,9,1,8,0,33,5,10,16,10,11,15,21,5,3,44,,6,0.18,
Public Class,org.apache.cassandra.auth.RoleOptions,3,,14,0,9,4,107,12,14,62,14,41,28,54,29,18,166,,47,0.44,
Public Class,org.apache.cassandra.auth.RoleOptionsTest,1,,29,5,25,0,175,39,18,102,30,72,69,96,10,2,215,,1,0.01,
Public Class,org.apache.cassandra.auth.RoleResource,2,,7,0,5,2,99,25,31,42,25,33,31,54,24,3,158,,34,0.34,
Public Class,org.apache.cassandra.auth.Roles,2,,14,0,7,7,84,17,15,40,18,29,21,44,19,4,174,,73,0.87,
Public Class,org.apache.cassandra.auth.RolesCache,1,,10,0,7,3,38,5,7,19,7,6,7,13,6,1,60,,17,0.45,
Public Class,org.apache.cassandra.auth.RolesTest,1,,12,1,11,0,78,17,30,47,24,39,38,48,8,2,97,,2,0.03,
Public Class,org.apache.cassandra.auth.SpiffeCertificateValidator,2,,15,0,12,3,39,3,11,15,10,13,10,19,7,4,69,,29,0.74,
Public Class,org.apache.cassandra.auth.SpiffeCertificateValidatorTest,1,,9,0,9,1,24,2,14,12,11,10,12,15,2,1,26,,1,0.04,
Public Class,org.apache.cassandra.auth.StubAuthorizer,2,,8,1,8,0,79,15,29,37,22,26,20,39,21,3,94,,0,0.00,
Public Class,org.apache.cassandra.auth.jmx.AuthorizationProxy,4,,26,2,15,9,291,60,57,184,51,118,97,155,67,13,550,,201,0.69,
Public Class,org.apache.cassandra.auth.jmx.AuthorizationProxyTest,1,,15,1,12,1,414,85,165,244,105,124,122,177,82,4,539,,40,0.10,
Public Class,org.apache.cassandra.auth.jmx.JMXAuthTest,1,,13,1,11,1,183,34,61,92,47,76,82,108,15,2,231,,15,0.08,
Public Class,org.apache.cassandra.batchlog.BatchlogEndpointFilterTest,1,,13,0,12,1,112,11,40,74,25,36,37,47,11,1,132,,9,0.08,
Public Class,org.apache.cassandra.batchlog.BatchlogManager,2,,13,1,10,1,365,69,105,203,109,175,157,237,32,7,477,,49,0.13,
Public Class,org.apache.cassandra.batchlog.BatchlogManagerTest,3,,33,5,26,3,240,53,77,172,72,132,135,159,24,7,317,,24,0.10,
Public Class,org.apache.cassandra.batchlog.BatchlogTest,2,,27,4,23,0,50,10,18,33,17,26,27,33,4,3,60,,0,0.00,
Public Class,org.apache.cassandra.cache.AutoSavingCache.Writer,4,,22,3,19,1,139,26,27,86,28,72,59,86,26,11,168,,6,0.04,
Public Class,org.apache.cassandra.cache.AutoSavingCacheTest,2,,14,2,12,1,52,10,14,32,14,26,27,37,7,4,65,,3,0.06,
Public Class,org.apache.cassandra.cache.CacheProviderTest,1,,18,2,16,0,134,25,46,88,43,70,76,93,9,3,160,,1,0.01,
Public Class,org.apache.cassandra.cache.ChunkCache,1,,6,0,6,0,225,42,76,89,59,70,81,123,18,2,274,,8,0.04,
Public Class,org.apache.cassandra.cache.KeyCacheKey,1,,7,0,7,0,43,9,14,21,11,17,18,26,7,3,54,,2,0.05,
Public Class,org.apache.cassandra.cache.NopCacheProvider,1,,4,0,4,0,63,13,16,13,16,12,11,28,1,1,76,,0,0.00,
Public Class,org.apache.cassandra.cache.NopCacheProviderTest,1,,5,0,5,0,20,3,9,4,6,4,5,9,3,1,23,,0,0.00,
Public Class,org.apache.cassandra.cache.OHCProvider,1,,10,1,9,0,160,22,35,68,35,53,49,82,1,1,182,,1,0.01,
Public Class,org.apache.cassandra.cache.RefCountedMemory,2,,7,0,6,1,39,6,11,16,11,15,12,23,10,4,50,,5,0.13,
Public Class,org.apache.cassandra.cache.RowCacheSentinel,1,,5,0,5,0,25,6,10,7,8,7,8,14,5,2,34,,3,0.12,
Public Class,org.apache.cassandra.cache.SerializingCacheProvider,1,,4,0,4,0,36,4,9,18,9,15,13,22,1,1,41,,2,0.06,
Public Class,org.apache.cassandra.concurrent.DebuggableScheduledThreadPoolExecutorTest,2,,25,5,19,1,62,18,12,31,11,23,22,31,6,3,83,,3,0.05,
Public Class,org.apache.cassandra.concurrent.DebuggableThreadPoolExecutorTest,2,,16,1,16,0,240,26,58,134,49,107,98,134,36,3,270,,4,0.02,
Public Class,org.apache.cassandra.concurrent.ExecutionFailure,2,,18,1,14,4,143,16,14,69,23,42,33,62,16,5,204,,45,0.31,
Public Class,org.apache.cassandra.concurrent.ExecutorLocals,1,,6,0,5,1,56,9,18,20,18,19,19,32,10,2,75,,10,0.18,
Public Class,org.apache.cassandra.concurrent.ExecutorPlusTest,1,,5,0,5,0,13,1,5,2,3,2,2,5,4,1,14,,0,0.00,
Public Class,org.apache.cassandra.concurrent.ForwardingExecutorPlus,1,,7,0,6,0,157,27,53,45,33,37,36,67,29,3,184,,0,0.00,
Public Class,org.apache.cassandra.concurrent.ForwardingLocalAwareExecutorPlus,1,,5,0,5,0,117,23,46,23,25,23,24,48,23,1,140,,0,0.00,
Public Class,org.apache.cassandra.concurrent.ForwardingScheduledExecutorPlus,1,,5,0,5,0,53,10,20,11,12,11,12,23,10,1,63,,0,0.00,
Public Class,org.apache.cassandra.concurrent.ImmediateExecutor,1,,5,0,5,0,116,12,30,50,24,43,36,66,29,2,128,,1,0.01,
Public Class,org.apache.cassandra.concurrent.InfiniteLoopExecutor,2,,8,0,8,0,130,23,35,56,29,47,44,72,32,8,153,,0,0.00,
Public Class,org.apache.cassandra.concurrent.InfiniteLoopExecutorTest,3,,22,0,21,2,44,1,15,27,13,27,25,31,9,4,48,,3,0.07,
Public Class,org.apache.cassandra.concurrent.LocalAwareExecutorPlusTest,1,,7,0,7,0,24,3,8,9,5,8,8,12,6,1,27,,0,0.00,
