File,Bug_ID
src/java/org/apache/hadoop/mapred/Child.java,"MAPREDUCE-430,MAPREDUCE-430,MAPREDUCE-430"
src/java/org/apache/hadoop/mapred/InterTrackerProtocol.java,MAPREDUCE-1218
src/java/org/apache/hadoop/mapred/IsolationRunner.java,"MAPREDUCE-430,MAPREDUCE-430,MAPREDUCE-430"
src/java/org/apache/hadoop/mapred/JobClient.java,"MAPREDUCE-2539,MAPREDUCE-2470,MAPREDUCE-2470,MAPREDUCE-2470,MAPREDUCE-1075"
src/java/org/apache/hadoop/mapred/JobConf.java,"MAPREDUCE-979,MAPREDUCE-40"
src/java/org/apache/hadoop/mapred/JobInProgress.java,MAPREDUCE-805
src/java/org/apache/hadoop/mapred/JobQueueClient.java,MAPREDUCE-1075
src/java/org/apache/hadoop/mapred/JobTracker.java,"MAPREDUCE-1992,MAPREDUCE-1523,MAPREDUCE-1342,MAPREDUCE-1177,MAPREDUCE-1104,MAPREDUCE-1075,MAPREDUCE-805,MAPREDUCE-754,MAPREDUCE-502,MAPREDUCE-40"
src/java/org/apache/hadoop/mapred/LocalJobRunner.java,"MAPREDUCE-430,MAPREDUCE-430,MAPREDUCE-430"
src/java/org/apache/hadoop/mapred/MapTask.java,MAPREDUCE-430
src/java/org/apache/hadoop/mapred/ReduceTask.java,"MAPREDUCE-479,MAPREDUCE-430,MAPREDUCE-430,MAPREDUCE-430"
src/java/org/apache/hadoop/mapred/RunningJob.java,"MAPREDUCE-2470,MAPREDUCE-2470,MAPREDUCE-2470"
src/java/org/apache/hadoop/mapred/Task.java,"MAPREDUCE-430,MAPREDUCE-220"
src/java/org/apache/hadoop/mapred/TaskInProgress.java,MAPREDUCE-1028
src/java/org/apache/hadoop/mapred/TaskMemoryManagerThread.java,"MAPREDUCE-1221,MAPREDUCE-1090,MAPREDUCE-144"
src/java/org/apache/hadoop/mapred/TaskRunner.java,"MAPREDUCE-1707,MAPREDUCE-430,MAPREDUCE-430"
src/java/org/apache/hadoop/mapred/TaskTracker.java,"MAPREDUCE-2031,MAPREDUCE-1992,MAPREDUCE-1707,MAPREDUCE-1221,MAPREDUCE-1218,MAPREDUCE-913,MAPREDUCE-834,MAPREDUCE-479,MAPREDUCE-430,MAPREDUCE-430,MAPREDUCE-430,MAPREDUCE-40"
src/java/org/apache/hadoop/mapred/TaskTrackerManager.java,MAPREDUCE-805
src/java/org/apache/hadoop/mapred/TaskTrackerStatus.java,MAPREDUCE-1218
src/java/org/apache/hadoop/mapred/TaskUmbilicalProtocol.java,"MAPREDUCE-430,MAPREDUCE-430,MAPREDUCE-430"
src/java/org/apache/hadoop/mapred/pipes/Application.java,MAPREDUCE-2082
src/java/org/apache/hadoop/mapreduce/JobContext.java,MAPREDUCE-1221
src/java/org/apache/hadoop/mapreduce/TaskCounter.java,MAPREDUCE-220
src/java/org/apache/hadoop/mapreduce/jobhistory/EventReader.java,MAPREDUCE-1309
src/java/org/apache/hadoop/mapreduce/lib/db/DBInputFormat.java,MAPREDUCE-1443
