File,Is_Public_Class
llap-server/src/test/org/apache/hadoop/hive/llap/cache/TestBuddyAllocator.java,Yes
llap-server/src/test/org/apache/hadoop/hive/llap/daemon/MiniLlapCluster.java,Yes
llap-server/src/test/org/apache/hadoop/hive/llap/daemon/impl/TaskExecutorTestHelpers.java,Yes
llap-server/src/test/org/apache/hadoop/hive/llap/daemon/impl/TestTaskExecutorService.java,Yes
llap-server/src/test/org/apache/hadoop/hive/llap/daemon/impl/comparator/TestShortestJobFirstComparator.java,Yes
llap-tez/src/java/org/apache/hadoop/hive/llap/tezplugins/LlapTaskCommunicator.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/Driver.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/ErrorMsg.java,No
ql/src/java/org/apache/hadoop/hive/ql/exec/CommonJoinOperator.java,No
ql/src/java/org/apache/hadoop/hive/ql/exec/CommonMergeJoinOperator.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/ComparisonOpMethodResolver.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/DDLTask.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/FetchOperator.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/FetchTask.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/FileSinkOperator.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/FunctionTask.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/GroupByOperator.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/HashTableLoader.java,No
ql/src/java/org/apache/hadoop/hive/ql/exec/HashTableSinkOperator.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/MapJoinOperator.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/MapOperator.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/MoveTask.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/NumericOpMethodResolver.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/ObjectCache.java,No
ql/src/java/org/apache/hadoop/hive/ql/exec/Operator.java,No
ql/src/java/org/apache/hadoop/hive/ql/exec/OperatorUtils.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/PTFTopNHash.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/ReduceSinkOperator.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/Registry.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/SMBMapJoinOperator.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/ScriptOperator.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/TableScanOperator.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/Task.java,No
ql/src/java/org/apache/hadoop/hive/ql/exec/TaskRunner.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/TemporaryHashSinkOperator.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/TopNHash.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/Utilities.java,No
ql/src/java/org/apache/hadoop/hive/ql/exec/mr/ExecDriver.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/mr/HadoopJobExecHelper.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/mr/HashTableLoader.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/mr/MapredLocalTask.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/mr/ObjectCache.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/persistence/BytesBytesMultiHashMap.java,No
ql/src/java/org/apache/hadoop/hive/ql/exec/persistence/FlatRowContainer.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/persistence/HashMapWrapper.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/persistence/HybridHashTableConf.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/persistence/HybridHashTableContainer.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/persistence/KeyValueContainer.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/persistence/MapJoinKey.java,No
ql/src/java/org/apache/hadoop/hive/ql/exec/persistence/ObjectContainer.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/repl/ReplDumpTask.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/repl/bootstrap/load/LoadDatabase.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/spark/HashTableLoader.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/spark/SparkPlanGenerator.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/spark/session/SparkSessionManagerImpl.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/CustomPartitionVertex.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/DagUtils.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/DynamicPartitionPruner.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/HashTableLoader.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/HiveSplitGenerator.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/MapRecordProcessor.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/MergeFileRecordProcessor.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/ObjectCache.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/ReduceRecordProcessor.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/SplitGrouper.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/TezSessionState.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/TezTask.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorAssignRow.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorCopyRow.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorExpressionDescriptor.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorGroupByOperator.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorMapJoinOperator.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorMapOperator.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorizationContext.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorizedBatchUtil.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorizedRowBatchCtx.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/LongColModuloLongColumnChecked.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/OverflowUtils.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/PosModDoubleToDouble.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/PosModLongToLong.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/VectorExpression.java,No
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/VectorExpressionWriterFactory.java,No
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/mapjoin/VectorMapJoinCommonOperator.java,No
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/mapjoin/VectorMapJoinGenerateResultOperator.java,No
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/mapjoin/fast/VectorMapJoinFastBytesHashMap.java,No
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/mapjoin/fast/VectorMapJoinFastBytesHashMultiSet.java,No
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/mapjoin/fast/VectorMapJoinFastBytesHashSet.java,No
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/mapjoin/fast/VectorMapJoinFastBytesHashTable.java,No
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/mapjoin/fast/VectorMapJoinFastHashMap.java,No
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/mapjoin/fast/VectorMapJoinFastHashMultiSet.java,No
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/mapjoin/fast/VectorMapJoinFastHashSet.java,No
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/mapjoin/fast/VectorMapJoinFastHashTable.java,No
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/mapjoin/fast/VectorMapJoinFastHashTableLoader.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/mapjoin/fast/VectorMapJoinFastLongHashMap.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/mapjoin/fast/VectorMapJoinFastLongHashMultiSet.java,Yes
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/mapjoin/fast/VectorMapJoinFastLongHashSet.java,Yes
